id,title,url,upload_date,matching_questions,similarity,output,volatility_3d,threshold_label,result
15,Jesse Watters: Kamala Harris takes the day off but calls Trump 'exhausted'?,https://www.youtube.com/watch?v=g6yVJbDV2SY,2024-10-23T01:30:22Z,Will Kamala Harris be D-nom for VP on Election Day?,0.6164786219596863,Impact,0.0,No impact,0
16,Jesse Watters: Kamala Harris takes the day off but calls Trump 'exhausted'?,https://www.youtube.com/watch?v=g6yVJbDV2SY,2024-10-23T01:30:22Z,Will Kamala Harris drop out of presidential race?,0.6086892485618591,Impact,0.0608,Impact,1
17,"Black voters, vulnerable Dems running away from Harris in final weeks of campaign",https://www.youtube.com/watch?v=tXqWckp-upA,2024-10-22T13:45:03Z,Trump gets more black voters than in 2020?,0.6179170608520508,Impact,0.0091,No impact,0
18,Gutfeld!: Trump has fun at McDonalds,https://www.youtube.com/watch?v=4lVbsXXSstU,2024-10-22T04:00:05Z,Will Kamala Harris win the 2024 US Presidential Election?,0.6702526211738586,No impact,0.0787,Impact,0
19,Gutfeld!: Trump has fun at McDonalds,https://www.youtube.com/watch?v=4lVbsXXSstU,2024-10-22T04:00:05Z,Kamala Harris blowout victory?,0.668363094329834,No impact,0.1212,Impact,0
20,Gutfeld!: Trump has fun at McDonalds,https://www.youtube.com/watch?v=4lVbsXXSstU,2024-10-22T04:00:05Z,Will Kamala Harris drop out of presidential race?,0.6423239707946777,No impact,0.0608,Impact,0
21,Gutfeld!: Trump has fun at McDonalds,https://www.youtube.com/watch?v=4lVbsXXSstU,2024-10-22T04:00:05Z,Will Kamala lead in RCP by 3.5 or more on Oct 25?,0.6386319398880005,No impact,0.1443,Impact,0
22,Gutfeld!: Trump has fun at McDonalds,https://www.youtube.com/watch?v=4lVbsXXSstU,2024-10-22T04:00:05Z,Kamala flips a 2020 Trump state?,0.6279097199440002,No impact,0.1226,Impact,0
23,Gutfeld!: Trump has fun at McDonalds,https://www.youtube.com/watch?v=4lVbsXXSstU,2024-10-22T04:00:05Z,Will Kamala go on Joe Rogan before election?,0.6249563694000244,No impact,0.5986,Impact,0
24,Gutfeld!: Trump has fun at McDonalds,https://www.youtube.com/watch?v=4lVbsXXSstU,2024-10-22T04:00:05Z,Will Kamala Harris be D-nom for VP on Election Day?,0.6197858452796936,No impact,0.0,No impact,1
25,Gutfeld!: Trump has fun at McDonalds,https://www.youtube.com/watch?v=4lVbsXXSstU,2024-10-22T04:00:05Z,Will Kamala lead in RCP by 2-2.4 on Oct 25?,0.6165485978126526,No impact,2.4748,Impact,0
26,Gutfeld!: Trump has fun at McDonalds,https://www.youtube.com/watch?v=4lVbsXXSstU,2024-10-22T04:00:05Z,Will Kamala lead in RCP by 2.5-2.9 on Oct 25?,0.6140680313110352,No impact,0.3279,Impact,0
27,Gutfeld!: Trump has fun at McDonalds,https://www.youtube.com/watch?v=4lVbsXXSstU,2024-10-22T04:00:05Z,Will Kamala win New York by 10+ points?,0.6126242876052856,No impact,0.0178,No impact,1
28,Gutfeld!: Trump has fun at McDonalds,https://www.youtube.com/watch?v=4lVbsXXSstU,2024-10-22T04:00:05Z,Will Kamala lead in RCP by 3-3.4 on Oct 25?,0.6113160252571106,No impact,0.1443,Impact,0
29,Judge Jeanine: Nobody cares what leftist Hollywood elites think,https://www.youtube.com/watch?v=axzMVHUyFSM,2024-10-22T00:15:01Z,Kamala Harris fires campaign manager?,0.6538873910903931,Impact,0.0856,Impact,1
30,Judge Jeanine: Nobody cares what leftist Hollywood elites think,https://www.youtube.com/watch?v=axzMVHUyFSM,2024-10-22T00:15:01Z,Kamala Harris wins the popular vote?,0.6391477584838867,Impact,0.0479,Impact,1
31,Judge Jeanine: Nobody cares what leftist Hollywood elites think,https://www.youtube.com/watch?v=axzMVHUyFSM,2024-10-22T00:15:01Z,Will George W. Bush endorse Kamala Harris?,0.6308967471122742,No impact,0.088,Impact,0
32,Judge Jeanine: Nobody cares what leftist Hollywood elites think,https://www.youtube.com/watch?v=axzMVHUyFSM,2024-10-22T00:15:01Z,Kamala Harris blowout victory?,0.6211714744567871,Impact,0.1212,Impact,1
33,Judge Jeanine: Nobody cares what leftist Hollywood elites think,https://www.youtube.com/watch?v=axzMVHUyFSM,2024-10-22T00:15:01Z,Kamala Harris wins a solid red state?,0.6083992123603821,Impact,0.1052,Impact,1
34,This intel leak could be an 'act of treason': Rep. Mast,https://www.youtube.com/watch?v=FeEKvjZeMAI,2024-10-21T18:15:00Z,Israel military response against Iran in October?,0.6136583089828491,Impact,0.139,Impact,1
35,This intel leak could be an 'act of treason': Rep. Mast,https://www.youtube.com/watch?v=FeEKvjZeMAI,2024-10-21T18:15:00Z,Israel military response against Iran by Friday?,0.6081451773643494,Impact,0.0,No impact,0
36,This intel leak could be an 'act of treason': Rep. Mast,https://www.youtube.com/watch?v=FeEKvjZeMAI,2024-10-21T18:15:00Z,Israel x Hezbollah Ceasefire in 2024?,0.6039189696311951,Impact,0.0625,Impact,1
37,This intel leak could be an 'act of treason': Rep. Mast,https://www.youtube.com/watch?v=FeEKvjZeMAI,2024-10-21T18:15:00Z,Israel withdraws from Lebanon before November?,0.6001372337341309,Impact,0.1662,Impact,1
39,Kayleigh McEnany: This could cost Kamala Harris a possible win,https://www.youtube.com/watch?v=-4i17fjvXU0,2024-10-21T16:45:00Z,Kamala Harris fires campaign manager?,0.6088642477989197,No impact,0.0964,Impact,0
40,Ex-HUD Secretary flags telling observation about Kamala Harris,https://www.youtube.com/watch?v=arfydfR3T28,2024-10-20T22:30:00Z,Trump gets more black voters than in 2020?,0.6375472545623779,Impact,0.0061,No impact,0
41,"These Democrats are 'breaking up' with Kamala Harris and 'flirting' with Trump, GOP strategist says",https://www.youtube.com/watch?v=Jo6M636Had0,2024-10-20T03:00:24Z,Will Kamala Harris win the 2024 US Presidential Election?,0.710427463054657,No impact,0.0565,Impact,0
42,"These Democrats are 'breaking up' with Kamala Harris and 'flirting' with Trump, GOP strategist says",https://www.youtube.com/watch?v=Jo6M636Had0,2024-10-20T03:00:24Z,Will Kamala Harris be D-nom for VP on Election Day?,0.6983204483985901,Impact,0.0,No impact,0
43,"These Democrats are 'breaking up' with Kamala Harris and 'flirting' with Trump, GOP strategist says",https://www.youtube.com/watch?v=Jo6M636Had0,2024-10-20T03:00:24Z,Will Kamala Harris drop out of presidential race?,0.6569666862487793,Impact,0.0,No impact,0
44,"These Democrats are 'breaking up' with Kamala Harris and 'flirting' with Trump, GOP strategist says",https://www.youtube.com/watch?v=Jo6M636Had0,2024-10-20T03:00:24Z,Kamala Harris blowout victory?,0.6566910743713379,Impact,0.1129,Impact,1
45,"These Democrats are 'breaking up' with Kamala Harris and 'flirting' with Trump, GOP strategist says",https://www.youtube.com/watch?v=Jo6M636Had0,2024-10-20T03:00:24Z,Kamala Harris wins the popular vote?,0.6456583142280579,No impact,0.0173,No impact,1
46,"These Democrats are 'breaking up' with Kamala Harris and 'flirting' with Trump, GOP strategist says",https://www.youtube.com/watch?v=Jo6M636Had0,2024-10-20T03:00:24Z,Will Kamala Harris win New York by the largest margin?,0.6442620158195496,No impact,0.1322,Impact,0
47,"These Democrats are 'breaking up' with Kamala Harris and 'flirting' with Trump, GOP strategist says",https://www.youtube.com/watch?v=Jo6M636Had0,2024-10-20T03:00:24Z,Kamala flips a 2020 Trump state?,0.6435538530349731,Impact,0.0802,Impact,1
50,"These Democrats are 'breaking up' with Kamala Harris and 'flirting' with Trump, GOP strategist says",https://www.youtube.com/watch?v=Jo6M636Had0,2024-10-20T03:00:24Z,Will Kamala Harris win another state by the largest margin?,0.6283639669418335,No impact,0.0553,Impact,0
51,"These Democrats are 'breaking up' with Kamala Harris and 'flirting' with Trump, GOP strategist says",https://www.youtube.com/watch?v=Jo6M636Had0,2024-10-20T03:00:24Z,Will Kamala Harris win all 6 swing states?,0.6268500089645386,Impact,0.1206,Impact,1
53,"These Democrats are 'breaking up' with Kamala Harris and 'flirting' with Trump, GOP strategist says",https://www.youtube.com/watch?v=Jo6M636Had0,2024-10-20T03:00:24Z,Will Kamala Harris win Delaware by the largest margin?,0.622373104095459,No impact,0.2241,Impact,0
54,"These Democrats are 'breaking up' with Kamala Harris and 'flirting' with Trump, GOP strategist says",https://www.youtube.com/watch?v=Jo6M636Had0,2024-10-20T03:00:24Z,Will Kamala Harris win California by the largest margin?,0.6186195611953735,No impact,0.0623,Impact,0
57,"These Democrats are 'breaking up' with Kamala Harris and 'flirting' with Trump, GOP strategist says",https://www.youtube.com/watch?v=Jo6M636Had0,2024-10-20T03:00:24Z,Kamala Harris fires campaign manager?,0.6021524667739868,Impact,0.1192,Impact,1
58,"These Democrats are 'breaking up' with Kamala Harris and 'flirting' with Trump, GOP strategist says",https://www.youtube.com/watch?v=Jo6M636Had0,2024-10-20T03:00:24Z,Kamala Harris and JD Vance debate before election?,0.6003448367118835,No impact,0.0646,Impact,0
59,Israel PM Netanyahus private home targeted in drone attack: Report,https://www.youtube.com/watch?v=RPBV_f--e30,2024-10-19T14:18:47Z,U.S. military strike on Lebanon before November?,0.6134811639785767,Impact,0.1097,Impact,1
60,Kevin McCarthy: Democrats are preparing 'who to blame' for this loss,https://www.youtube.com/watch?v=DhcEs4AB4eU,2024-10-19T09:00:18Z,Kamala Harris wins the popular vote?,0.6115342378616333,Impact,0.0368,Impact,1
61,Gutfeld: This was like watching Batman give a wedgie to the Penguin,https://www.youtube.com/watch?v=g2EYSGI6aB8,2024-10-19T03:15:02Z,Will Kamala Harris win the 2024 US Presidential Election?,0.6521110534667969,Impact,0.0548,Impact,1
62,Gutfeld: This was like watching Batman give a wedgie to the Penguin,https://www.youtube.com/watch?v=g2EYSGI6aB8,2024-10-19T03:15:02Z,Will Kamala Harris drop out of presidential race?,0.6331970691680908,No impact,0.1083,Impact,0
65,Gutfeld: This was like watching Batman give a wedgie to the Penguin,https://www.youtube.com/watch?v=g2EYSGI6aB8,2024-10-19T03:15:02Z,Kamala Harris wins the popular vote?,0.6051073670387268,No impact,0.0368,Impact,0
66,Harris campaign 'nervous' about Trump's gains in swing states: Report,https://www.youtube.com/watch?v=xAPmjL41tks,2024-10-18T20:45:02Z,Will Kamala Harris win Massachusetts by the largest margin?,0.6259822845458984,No impact,0.0465,Impact,0
67,Harris campaign 'nervous' about Trump's gains in swing states: Report,https://www.youtube.com/watch?v=xAPmjL41tks,2024-10-18T20:45:02Z,Will Kamala Harris win all 6 swing states?,0.6219010949134827,Impact,0.0855,Impact,1
68,Harris campaign 'nervous' about Trump's gains in swing states: Report,https://www.youtube.com/watch?v=xAPmjL41tks,2024-10-18T20:45:02Z,Will Kamala Harris win the 2024 US Presidential Election?,0.6207146048545837,Impact,0.0349,Impact,1
69,Harris campaign 'nervous' about Trump's gains in swing states: Report,https://www.youtube.com/watch?v=xAPmjL41tks,2024-10-18T20:45:02Z,Will Kamala Harris win New York by the largest margin?,0.6202042102813721,Impact,0.1169,Impact,1
70,Harris campaign 'nervous' about Trump's gains in swing states: Report,https://www.youtube.com/watch?v=xAPmjL41tks,2024-10-18T20:45:02Z,Will Kamala Harris win California by the largest margin?,0.6184882521629333,Impact,0.0571,Impact,1
71,Harris campaign 'nervous' about Trump's gains in swing states: Report,https://www.youtube.com/watch?v=xAPmjL41tks,2024-10-18T20:45:02Z,Kamala Harris wins the popular vote?,0.6142058372497559,Impact,0.0347,Impact,1
72,Harris campaign 'nervous' about Trump's gains in swing states: Report,https://www.youtube.com/watch?v=xAPmjL41tks,2024-10-18T20:45:02Z,Will Kamala Harris win Maryland by the largest margin?,0.612657904624939,Impact,0.0,No impact,0
73,Harris campaign 'nervous' about Trump's gains in swing states: Report,https://www.youtube.com/watch?v=xAPmjL41tks,2024-10-18T20:45:02Z,Will Kamala Harris win Delaware by the largest margin?,0.6123337149620056,Impact,0.0778,Impact,1
74,Harris campaign 'nervous' about Trump's gains in swing states: Report,https://www.youtube.com/watch?v=xAPmjL41tks,2024-10-18T20:45:02Z,Will Kamala Harris win another state by the largest margin?,0.6103070378303528,Impact,0.0489,Impact,1
75,Harris campaign 'nervous' about Trump's gains in swing states: Report,https://www.youtube.com/watch?v=xAPmjL41tks,2024-10-18T20:45:02Z,Will Kamala Harris win Hawaii by the largest margin?,0.6050580739974976,No impact,0.0729,Impact,0
76,Harris campaign 'nervous' about Trump's gains in swing states: Report,https://www.youtube.com/watch?v=xAPmjL41tks,2024-10-18T20:45:02Z,Kamala Harris wins a solid red state?,0.6048074960708618,Impact,0.0658,Impact,1
77,Harris campaign 'nervous' about Trump's gains in swing states: Report,https://www.youtube.com/watch?v=xAPmjL41tks,2024-10-18T20:45:02Z,Will Kamala Harris win Vermont by the largest margin?,0.6040587425231934,Impact,0.0218,Impact,1
78,Harris campaign 'nervous' about Trump's gains in swing states: Report,https://www.youtube.com/watch?v=xAPmjL41tks,2024-10-18T20:45:02Z,Will Kamala Harris drop out of presidential race?,0.6016938090324402,Impact,0.3554,Impact,1
79,Laura Ingraham: Kamala Harris grandstands and repeats lines from consultants,https://www.youtube.com/watch?v=9ODPgQnKtVU,2024-10-18T00:45:00Z,Kamala Harris blowout victory?,0.6474946737289429,Impact,0.1347,Impact,1
80,Netanyahu speaks after IDF kills Sinwar: 'An important moment',https://www.youtube.com/watch?v=Wszv37Q6wVs,2024-10-17T19:15:00Z,Israel withdraws from Gaza before November?,0.6027405858039856,Impact,0.0113,No impact,0
81,"Kamala Harris is 'tanking' at the 'worst possible time,' GOP lawmaker says",https://www.youtube.com/watch?v=mK9Rcgf5ENM,2024-10-17T18:30:38Z,Will Kamala Harris win the 2024 US Presidential Election?,0.6254106760025024,Impact,0.0603,Impact,1
82,"Kamala Harris is 'tanking' at the 'worst possible time,' GOP lawmaker says",https://www.youtube.com/watch?v=mK9Rcgf5ENM,2024-10-17T18:30:38Z,Will Kamala Harris win New York by the largest margin?,0.6194589138031006,Impact,0.0876,Impact,1
83,"Kamala Harris is 'tanking' at the 'worst possible time,' GOP lawmaker says",https://www.youtube.com/watch?v=mK9Rcgf5ENM,2024-10-17T18:30:38Z,Kamala Harris wins the popular vote?,0.6192121505737305,Impact,0.0152,No impact,0
84,"Kamala Harris is 'tanking' at the 'worst possible time,' GOP lawmaker says",https://www.youtube.com/watch?v=mK9Rcgf5ENM,2024-10-17T18:30:38Z,Kamala Harris blowout victory?,0.6167645454406738,Impact,0.1264,Impact,1
85,"Kamala Harris is 'tanking' at the 'worst possible time,' GOP lawmaker says",https://www.youtube.com/watch?v=mK9Rcgf5ENM,2024-10-17T18:30:38Z,Kamala flips a 2020 Trump state?,0.6161211729049683,Impact,0.0135,No impact,0
86,"Kamala Harris is 'tanking' at the 'worst possible time,' GOP lawmaker says",https://www.youtube.com/watch?v=mK9Rcgf5ENM,2024-10-17T18:30:38Z,Will Kamala Harris be D-nom for VP on Election Day?,0.6098498106002808,Impact,0.0,No impact,0
87,Israel reportedly confirms death of top Hamas leader,https://www.youtube.com/watch?v=jlxAr1GXVKY,2024-10-17T17:06:04Z,Yahya Sinwar still Hamas leader by October 31?,0.6672257781028748,Impact,0.5743,Impact,1
88,HIGHLIGHTS: The must-see Kamala Harris-Bret Baier interview,https://www.youtube.com/watch?v=wbNxiLaY6I0,2024-10-17T14:01:01Z,Will Kamala Harris win the 2024 US Presidential Election?,0.6311656832695007,Impact,0.0603,Impact,1
89,HIGHLIGHTS: The must-see Kamala Harris-Bret Baier interview,https://www.youtube.com/watch?v=wbNxiLaY6I0,2024-10-17T14:01:01Z,Will Kamala Harris be D-nom for VP on Election Day?,0.6229177117347717,Impact,0.0,No impact,0
90,HIGHLIGHTS: The must-see Kamala Harris-Bret Baier interview,https://www.youtube.com/watch?v=wbNxiLaY6I0,2024-10-17T14:01:01Z,Will Kamala Harris drop out of presidential race?,0.6090087294578552,Impact,0.3633,Impact,1
91,HIGHLIGHTS: The must-see Kamala Harris-Bret Baier interview,https://www.youtube.com/watch?v=wbNxiLaY6I0,2024-10-17T14:01:01Z,Kamala Harris wins the popular vote?,0.6022817492485046,Impact,0.0152,No impact,0
92,IDF investigating possible death of top Hamas leader,https://www.youtube.com/watch?v=8afPCkwVRrI,2024-10-17T13:25:12Z,Yahya Sinwar still Hamas leader by October 31?,0.696003794670105,Impact,0.5743,Impact,1
93,"Watters calls out Kamala Harris, says she lied to Charlamagne",https://www.youtube.com/watch?v=oWW93V1npjw,2024-10-17T00:30:35Z,Kamala Harris and JD Vance debate before election?,0.6037848591804504,No impact,0.1375,Impact,0
94,This isn't working anymore for Kamala Harris: Banderas,https://www.youtube.com/watch?v=1B8Z4XXoYFY,2024-10-16T21:00:00Z,Kamala Harris wins the popular vote?,0.620110273361206,No impact,0.0329,Impact,0
95,'The fear card': Harris ramps up outrageous claims against Trump,https://www.youtube.com/watch?v=dlLed01XjW8,2024-10-16T19:30:10Z,"Will Kamala say ""marijuana"" during Fox News interview?",0.6698080897331238,No impact,0.5655,Impact,0
96,'The fear card': Harris ramps up outrageous claims against Trump,https://www.youtube.com/watch?v=dlLed01XjW8,2024-10-16T19:30:10Z,"Will Kamala say ""Black men"" during Fox News interview?",0.6176028847694397,No impact,0.5764,Impact,0
97,Trump hits back after being labeled 'dangerous' by Dems,https://www.youtube.com/watch?v=Ah7Snk-KFEA,2024-10-16T16:15:06Z,Kamala Harris wins the popular vote?,0.6006885766983032,No impact,0.0329,Impact,0
98,Kellyanne Conway: Trump has a chance to run the tables in November,https://www.youtube.com/watch?v=2yaqnE0MH6Q,2024-10-16T09:30:02Z,Kamala Harris wins the popular vote?,0.6409785747528076,Impact,0.0329,Impact,1
99,Kellyanne Conway: Trump has a chance to run the tables in November,https://www.youtube.com/watch?v=2yaqnE0MH6Q,2024-10-16T09:30:02Z,Trump gets more black voters than in 2020?,0.6170184016227722,Impact,0.016,No impact,0
100,Kellyanne Conway: Trump has a chance to run the tables in November,https://www.youtube.com/watch?v=2yaqnE0MH6Q,2024-10-16T09:30:02Z,Will Kamala Harris win New York by the largest margin?,0.6059507131576538,Impact,0.1288,Impact,1
101,Kellyanne Conway: Trump has a chance to run the tables in November,https://www.youtube.com/watch?v=2yaqnE0MH6Q,2024-10-16T09:30:02Z,"Will Kamala say ""Black men"" during Fox News interview?",0.6010760068893433,No impact,0.5764,Impact,0
102,Barack sent Kamala Harris to see 'Tha God': Watters,https://www.youtube.com/watch?v=oyMQ7NNrhao,2024-10-16T01:45:02Z,"Will Kamala say ""Black men"" during Fox News interview?",0.6599881649017334,Impact,0.5764,Impact,1
103,Laura: Democrats are 'spinning' over this,https://www.youtube.com/watch?v=7xbPQfc-6XY,2024-10-16T01:15:00Z,Kamala Harris wins the popular vote?,0.6120073795318604,Impact,0.0329,Impact,1
104,I love the idea of Kamala Harris on Joe Rogans podcast: Judge Jeanine,https://www.youtube.com/watch?v=TlbJXw2n0Bs,2024-10-15T23:45:01Z,Will Kamala go on Lex Fridman podcast?,0.6422330141067505,No impact,0.1478,Impact,0
107,Kamala Harris thinks Trump is hiding?: Gutfeld,https://www.youtube.com/watch?v=3UqS4EI1Yxo,2024-10-15T13:45:00Z,Trump flips Kamala on 538 before election?,0.6169822812080383,Impact,0.2171,Impact,1
108,Netanyahu reveals plans for strike on Iran,https://www.youtube.com/watch?v=YROnmSNGpzY,2024-10-15T11:30:30Z,Israel strike on Iranian nuclear facility in 2024?,0.6989579200744629,Impact,0.1779,Impact,1
109,Netanyahu reveals plans for strike on Iran,https://www.youtube.com/watch?v=YROnmSNGpzY,2024-10-15T11:30:30Z,Will Israel strike Iran on Saturday Oct 19?,0.6710827350616455,Impact,0.4231,Impact,1
110,Netanyahu reveals plans for strike on Iran,https://www.youtube.com/watch?v=YROnmSNGpzY,2024-10-15T11:30:30Z,Will Israel strike Iran on Thursday Oct 17?,0.6700087785720825,Impact,0.6353,Impact,1
111,Netanyahu reveals plans for strike on Iran,https://www.youtube.com/watch?v=YROnmSNGpzY,2024-10-15T11:30:30Z,Will Israel strike Iran on Friday Oct 18?,0.667276918888092,Impact,0.5834,Impact,1
112,Netanyahu reveals plans for strike on Iran,https://www.youtube.com/watch?v=YROnmSNGpzY,2024-10-15T11:30:30Z,Will Israel strike Iran on Wednesday Oct 16?,0.6665710210800171,Impact,0.4532,Impact,1
113,Netanyahu reveals plans for strike on Iran,https://www.youtube.com/watch?v=YROnmSNGpzY,2024-10-15T11:30:30Z,Will Israel strike Iran on Tuesday Oct 15?,0.6629982590675354,Impact,0.4366,Impact,1
114,Netanyahu reveals plans for strike on Iran,https://www.youtube.com/watch?v=YROnmSNGpzY,2024-10-15T11:30:30Z,Will Israel strike Iran on Sunday Oct 20?,0.6599552631378174,Impact,0.4393,Impact,1
115,Netanyahu reveals plans for strike on Iran,https://www.youtube.com/watch?v=YROnmSNGpzY,2024-10-15T11:30:30Z,Another Iran strike on Israel in October?,0.6567009687423706,Impact,0.242,Impact,1
116,Netanyahu reveals plans for strike on Iran,https://www.youtube.com/watch?v=YROnmSNGpzY,2024-10-15T11:30:30Z,Israel military response against Iran in October?,0.6368558406829834,Impact,0.032,Impact,1
117,Netanyahu reveals plans for strike on Iran,https://www.youtube.com/watch?v=YROnmSNGpzY,2024-10-15T11:30:30Z,Israel military response against Iran by Friday?,0.6351060271263123,Impact,0.0,No impact,0
118,Netanyahu reveals plans for strike on Iran,https://www.youtube.com/watch?v=YROnmSNGpzY,2024-10-15T11:30:30Z,No Israel strike Iran by Sunday Oct 20?,0.628294825553894,Impact,0.1057,Impact,1
119,Netanyahu reveals plans for strike on Iran,https://www.youtube.com/watch?v=YROnmSNGpzY,2024-10-15T11:30:30Z,Israel military action against Iran by end of 2024?,0.6168544292449951,Impact,0.0256,Impact,1
120,Sean Hannity: The panic on the left is palpable,https://www.youtube.com/watch?v=q0Q2TB1nD2s,2024-10-15T02:30:29Z,Will Kamala Harris drop out of presidential race?,0.6224955320358276,Impact,0.4866,Impact,1
121,Sean Hannity: The panic on the left is palpable,https://www.youtube.com/watch?v=q0Q2TB1nD2s,2024-10-15T02:30:29Z,Kamala Harris blowout victory?,0.6211721301078796,Impact,0.0524,Impact,1
122,Sean Hannity: The panic on the left is palpable,https://www.youtube.com/watch?v=q0Q2TB1nD2s,2024-10-15T02:30:29Z,Will Kamala Harris be D-nom for VP on Election Day?,0.6113654375076294,Impact,0.0,No impact,0
123,Sean Hannity: The panic on the left is palpable,https://www.youtube.com/watch?v=q0Q2TB1nD2s,2024-10-15T02:30:29Z,Will Kamala Harris win the 2024 US Presidential Election?,0.6105307340621948,Impact,0.0217,No impact,0
124,The Five: Harris-Walz campaign shoots blanks in quest for 'bro vote',https://www.youtube.com/watch?v=MtuVtOSBz0g,2024-10-14T23:30:07Z,Kamala Harris blowout victory?,0.6573528051376343,Impact,0.0524,Impact,1
125,The Five: Harris-Walz campaign shoots blanks in quest for 'bro vote',https://www.youtube.com/watch?v=MtuVtOSBz0g,2024-10-14T23:30:07Z,Kamala Harris wins the popular vote?,0.6403645277023315,Impact,0.0284,Impact,1
126,Biden-Harris tensions grow: New details revealed,https://www.youtube.com/watch?v=qR5U9ATSzAQ,2024-10-14T19:00:23Z,Will Kamala Harris win the 2024 US Presidential Election?,0.6191301345825195,Impact,0.0132,No impact,0
127,Biden-Harris tensions grow: New details revealed,https://www.youtube.com/watch?v=qR5U9ATSzAQ,2024-10-14T19:00:23Z,Kamala flips a 2020 Trump state?,0.6182996034622192,Impact,0.0335,Impact,1
128,Biden-Harris tensions grow: New details revealed,https://www.youtube.com/watch?v=qR5U9ATSzAQ,2024-10-14T19:00:23Z,Will Kamala Harris be D-nom for VP on Election Day?,0.6173245310783386,Impact,0.0,No impact,0
129,NASCAR legend describes crowd's reaction to JD Vance appearing at Charlotte race,https://www.youtube.com/watch?v=DzipY1vipOU,2024-10-14T16:45:00Z,Trump-Vance Republican ticket on election day?,0.6273030042648315,No impact,0.0039,No impact,1
130,Hezbollah launches deadliest drone attack on Israel since invasion,https://www.youtube.com/watch?v=Pup56wrvBs8,2024-10-14T14:15:33Z,U.S. military strike on Lebanon before November?,0.644097089767456,Impact,0.0619,Impact,1
131,Hezbollah launches deadliest drone attack on Israel since invasion,https://www.youtube.com/watch?v=Pup56wrvBs8,2024-10-14T14:15:33Z,Israel x Hezbollah Ceasefire in 2024?,0.6329907178878784,Impact,0.0411,Impact,1
132,Harris not going to get there with core Dem voters: Samantha Dravis,https://www.youtube.com/watch?v=UtfAda4wGMQ,2024-10-12T13:30:30Z,Kamala Harris wins a solid red state?,0.6533865928649902,No impact,0.0,No impact,1
133,Harris not going to get there with core Dem voters: Samantha Dravis,https://www.youtube.com/watch?v=UtfAda4wGMQ,2024-10-12T13:30:30Z,Will Kamala Harris win California by the largest margin?,0.6267544031143188,No impact,0.0565,Impact,0
134,Harris not going to get there with core Dem voters: Samantha Dravis,https://www.youtube.com/watch?v=UtfAda4wGMQ,2024-10-12T13:30:30Z,Will Kamala Harris win another state by the largest margin?,0.611258864402771,No impact,0.2377,Impact,0
135,Harris not going to get there with core Dem voters: Samantha Dravis,https://www.youtube.com/watch?v=UtfAda4wGMQ,2024-10-12T13:30:30Z,Will Kamala Harris win all 6 swing states?,0.6078274250030518,No impact,0.0398,Impact,0
