title,url,matching_questions,emb_file,graph_file,change_1d,change_3d,change_5d
"Pam Bondi wants transparency on the Epstein files, David Schoen says",https://www.youtube.com/watch?v=nBykeh0FlbA,Will FBI send Pam Bondi the full Epstein files by Friday?,data/emb_0212.pt,data/graph_0212.pt,0,0,0
First wave of Jeffrey Epstein files released,https://www.youtube.com/watch?v=i9M7SlJ0L_U,Trump releases Epstein list today?,data/emb_0213.pt,data/graph_0213.pt,1,1,1
'PRETTY SICK': AG Pam Bondi teases release of Epstein files,https://www.youtube.com/watch?v=TIpagGJYPiM,Will Donald Trump be named in Epstein files?,data/emb_0214.pt,data/graph_0214.pt,1,1,1
Ukraine's Zelenskyy to sign mineral deal during Trump White House visit,https://www.youtube.com/watch?v=hrnTp1Pkl-I,Will Trump meet with Zelenskyy before July?,data/emb_0215.pt,data/graph_0215.pt,1,1,1
Ukraine's Zelenskyy to sign mineral deal during Trump White House visit,https://www.youtube.com/watch?v=hrnTp1Pkl-I,Will Trump meet with Volodymyr Zelenskyy in 2025?,data/emb_0215.pt,data/graph_0215.pt,1,1,1
Ukraine's Zelenskyy to sign mineral deal during Trump White House visit,https://www.youtube.com/watch?v=hrnTp1Pkl-I,Will Trump meet with Volodymyr Zelenskyy in his first 100 days?,data/emb_0215.pt,data/graph_0215.pt,1,1,1
Ukraine's Zelenskyy to sign mineral deal during Trump White House visit,https://www.youtube.com/watch?v=hrnTp1Pkl-I,Will Putin meet with Trump in February?,data/emb_0215.pt,data/graph_0215.pt,0,0,0
AG Pam Bondi reviews classified Epstein documents,https://www.youtube.com/watch?v=QBnngnwukBU,Will Donald Trump be named in Epstein files?,data/emb_0219.pt,data/graph_0219.pt,0,1,1
AG Pam Bondi reviews classified Epstein documents,https://www.youtube.com/watch?v=QBnngnwukBU,Trump declassifies Epstein list in first 100 days?,data/emb_0219.pt,data/graph_0219.pt,0,0,0
AG Pam Bondi reviews classified Epstein documents,https://www.youtube.com/watch?v=QBnngnwukBU,Will Michael Jackson be named in Epstein files?,data/emb_0219.pt,data/graph_0219.pt,0,1,1
Trump SPARS with Hochul: This is a disaster,https://www.youtube.com/watch?v=qIbOgoMd7Xg,Will Trump halt NYC congestion pricing before April?,data/emb_0222.pt,data/graph_0222.pt,0,0,0
NY gov melts down after Trump ends congestion pricing,https://www.youtube.com/watch?v=A-DUnH67A8E,Will Trump halt NYC congestion pricing before April?,data/emb_0223.pt,data/graph_0223.pt,0,0,0
NEW: Trump designates Venezuelan gang as terror organization,https://www.youtube.com/watch?v=NjnuCBLAWbI,Will Trump list the Sinaloa Cartel as a terrorist organization before April?,data/emb_0224.pt,data/graph_0224.pt,1,1,1
NEW: Trump designates Venezuelan gang as terror organization,https://www.youtube.com/watch?v=NjnuCBLAWbI,Will Trump list the Tren de Aragua as a terrorist organization before April?,data/emb_0224.pt,data/graph_0224.pt,0,0,0
NEW: Trump designates Venezuelan gang as terror organization,https://www.youtube.com/watch?v=NjnuCBLAWbI,Will Trump list the Gulf Cartel as a terrorist organization before April?,data/emb_0224.pt,data/graph_0224.pt,1,1,1
President Trump signs executive order on IVF at Mar-a-Lago,https://www.youtube.com/watch?v=LlJ0DxWF2BQ,Will Trump issue an executive order on February 18?,data/emb_0227.pt,data/graph_0227.pt,1,1,1
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will fewer than 50k federal employees accept the buyout?,data/emb_0228.pt,data/graph_0228.pt,0,0,0
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 100-150k federal employees accept the buyout?,data/emb_0228.pt,data/graph_0228.pt,0,0,0
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 50-100k federal employees accept the buyout?,data/emb_0228.pt,data/graph_0228.pt,1,1,1
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 500k or more federal employees accept the buyout?,data/emb_0228.pt,data/graph_0228.pt,0,0,0
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 150-200k federal employees accept the buyout?,data/emb_0228.pt,data/graph_0228.pt,0,0,0
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 300-350k federal employees accept the buyout?,data/emb_0228.pt,data/graph_0228.pt,0,0,0
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 200-250k federal employees accept the buyout?,data/emb_0228.pt,data/graph_0228.pt,0,0,0
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 250-300k federal employees accept the buyout?,data/emb_0228.pt,data/graph_0228.pt,0,0,0
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 350-400k federal employees accept the buyout?,data/emb_0228.pt,data/graph_0228.pt,0,0,0
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 450-500k federal employees accept the buyout?,data/emb_0228.pt,data/graph_0228.pt,0,0,0
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 400-450k federal employees accept the buyout?,data/emb_0228.pt,data/graph_0228.pt,0,0,0
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will Mitch McConnell vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0239.pt,data/graph_0239.pt,1,1,1
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will Cynthia Lummis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0239.pt,data/graph_0239.pt,1,1,1
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will Bill Cassidy vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0239.pt,data/graph_0239.pt,1,1,1
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will Joni Ernst vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0239.pt,data/graph_0239.pt,1,1,1
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Tulsi Gabbard confirmed as Director of National Intelligence?,data/emb_0239.pt,data/graph_0239.pt,1,1,1
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will John Fetterman vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0239.pt,data/graph_0239.pt,0,0,0
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will Susan Collins vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0239.pt,data/graph_0239.pt,1,1,1
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will Lisa Murkowski  vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0239.pt,data/graph_0239.pt,1,1,1
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will John Curtis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0239.pt,data/graph_0239.pt,0,0,0
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will fewer than 50k federal employees accept the buyout?,data/emb_0249.pt,data/graph_0249.pt,1,0,0
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 500k or more federal employees accept the buyout?,data/emb_0249.pt,data/graph_0249.pt,1,0,0
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 50-100k federal employees accept the buyout?,data/emb_0249.pt,data/graph_0249.pt,1,1,1
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 450-500k federal employees accept the buyout?,data/emb_0249.pt,data/graph_0249.pt,1,0,0
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 100-150k federal employees accept the buyout?,data/emb_0249.pt,data/graph_0249.pt,0,0,0
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 150-200k federal employees accept the buyout?,data/emb_0249.pt,data/graph_0249.pt,0,0,0
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 200-250k federal employees accept the buyout?,data/emb_0249.pt,data/graph_0249.pt,0,0,0
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 350-400k federal employees accept the buyout?,data/emb_0249.pt,data/graph_0249.pt,0,0,0
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 400-450k federal employees accept the buyout?,data/emb_0249.pt,data/graph_0249.pt,1,1,0
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 250-300k federal employees accept the buyout?,data/emb_0249.pt,data/graph_0249.pt,1,1,0
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 300-350k federal employees accept the buyout?,data/emb_0249.pt,data/graph_0249.pt,0,0,0
"'Joe, you're fired': Trump strips Biden's security clearance",https://www.youtube.com/watch?v=SXSiABUxwi4,Will Donald Trump be shown 3-5 times at the Super Bowl?,data/emb_0260.pt,data/graph_0260.pt,0,0,0
Trump 100% disagrees with federal judge's 'crazy' DOGE ruling,https://www.youtube.com/watch?v=lJxXCj1fbAI,Will Donald Trump be shown 0-2 times at the Super Bowl?,data/emb_0261.pt,data/graph_0261.pt,0,1,1
Trump 100% disagrees with federal judge's 'crazy' DOGE ruling,https://www.youtube.com/watch?v=lJxXCj1fbAI,Will Donald Trump be shown 12 or more times at the Super Bowl?,data/emb_0261.pt,data/graph_0261.pt,1,1,1
Trump 100% disagrees with federal judge's 'crazy' DOGE ruling,https://www.youtube.com/watch?v=lJxXCj1fbAI,Will Donald Trump be shown 3-5 times at the Super Bowl?,data/emb_0261.pt,data/graph_0261.pt,1,0,0
Trump 100% disagrees with federal judge's 'crazy' DOGE ruling,https://www.youtube.com/watch?v=lJxXCj1fbAI,Will Donald Trump be shown 6-8 times at the Super Bowl?,data/emb_0261.pt,data/graph_0261.pt,1,0,0
Trump 100% disagrees with federal judge's 'crazy' DOGE ruling,https://www.youtube.com/watch?v=lJxXCj1fbAI,Will Donald Trump be shown 9-11 times at the Super Bowl?,data/emb_0261.pt,data/graph_0261.pt,1,1,1
Intel expert details Super Bowl security for Trump: Here's what you won't see,https://www.youtube.com/watch?v=E0XN15gS2uc,Will Donald Trump be shown 9-11 times at the Super Bowl?,data/emb_0266.pt,data/graph_0266.pt,1,1,1
Intel expert details Super Bowl security for Trump: Here's what you won't see,https://www.youtube.com/watch?v=E0XN15gS2uc,Will Donald Trump be shown 12 or more times at the Super Bowl?,data/emb_0266.pt,data/graph_0266.pt,0,1,1
Intel expert details Super Bowl security for Trump: Here's what you won't see,https://www.youtube.com/watch?v=E0XN15gS2uc,Will Donald Trump be shown 3-5 times at the Super Bowl?,data/emb_0266.pt,data/graph_0266.pt,1,0,0
"Federal investigation launched over threats to Elon Musk, DOGE team",https://www.youtube.com/watch?v=W6-hi3eGBAE,Elon Musk out as Head of DOGE before July?,data/emb_0270.pt,data/graph_0270.pt,1,0,0
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 500k or more federal employees accept the buyout?,data/emb_0271.pt,data/graph_0271.pt,0,0,0
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 100-150k federal employees accept the buyout?,data/emb_0271.pt,data/graph_0271.pt,1,1,0
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will fewer than 50k federal employees accept the buyout?,data/emb_0271.pt,data/graph_0271.pt,0,1,1
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 50-100k federal employees accept the buyout?,data/emb_0271.pt,data/graph_0271.pt,0,0,1
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 150-200k federal employees accept the buyout?,data/emb_0271.pt,data/graph_0271.pt,0,0,0
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 300-350k federal employees accept the buyout?,data/emb_0271.pt,data/graph_0271.pt,1,0,0
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 250-300k federal employees accept the buyout?,data/emb_0271.pt,data/graph_0271.pt,1,0,1
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 350-400k federal employees accept the buyout?,data/emb_0271.pt,data/graph_0271.pt,0,0,0
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 450-500k federal employees accept the buyout?,data/emb_0271.pt,data/graph_0271.pt,0,0,0
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 200-250k federal employees accept the buyout?,data/emb_0271.pt,data/graph_0271.pt,0,0,0
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will fewer than 50k federal employees accept the buyout?,data/emb_0281.pt,data/graph_0281.pt,0,1,1
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 300-350k federal employees accept the buyout?,data/emb_0281.pt,data/graph_0281.pt,1,0,0
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 50-100k federal employees accept the buyout?,data/emb_0281.pt,data/graph_0281.pt,0,0,1
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 150-200k federal employees accept the buyout?,data/emb_0281.pt,data/graph_0281.pt,0,0,0
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 200-250k federal employees accept the buyout?,data/emb_0281.pt,data/graph_0281.pt,0,0,0
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 250-300k federal employees accept the buyout?,data/emb_0281.pt,data/graph_0281.pt,1,0,1
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 350-400k federal employees accept the buyout?,data/emb_0281.pt,data/graph_0281.pt,0,0,0
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 100-150k federal employees accept the buyout?,data/emb_0281.pt,data/graph_0281.pt,1,1,0
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 500k or more federal employees accept the buyout?,data/emb_0281.pt,data/graph_0281.pt,0,0,0
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 450-500k federal employees accept the buyout?,data/emb_0281.pt,data/graph_0281.pt,0,0,0
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 400-450k federal employees accept the buyout?,data/emb_0281.pt,data/graph_0281.pt,0,0,0
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 300-350k federal employees accept the buyout?,data/emb_0292.pt,data/graph_0292.pt,1,1,1
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 350-400k federal employees accept the buyout?,data/emb_0292.pt,data/graph_0292.pt,1,0,0
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will fewer than 50k federal employees accept the buyout?,data/emb_0292.pt,data/graph_0292.pt,0,0,0
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 500k or more federal employees accept the buyout?,data/emb_0292.pt,data/graph_0292.pt,1,0,0
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 100-150k federal employees accept the buyout?,data/emb_0292.pt,data/graph_0292.pt,1,1,1
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 250-300k federal employees accept the buyout?,data/emb_0292.pt,data/graph_0292.pt,1,0,0
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 150-200k federal employees accept the buyout?,data/emb_0292.pt,data/graph_0292.pt,1,1,1
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 50-100k federal employees accept the buyout?,data/emb_0292.pt,data/graph_0292.pt,1,1,1
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 450-500k federal employees accept the buyout?,data/emb_0292.pt,data/graph_0292.pt,1,0,0
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 400-450k federal employees accept the buyout?,data/emb_0292.pt,data/graph_0292.pt,0,0,0
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 200-250k federal employees accept the buyout?,data/emb_0292.pt,data/graph_0292.pt,1,0,0
Sen. Hawley: Tulsi Gabbard is winning over her critics,https://www.youtube.com/watch?v=Izj0aG8zYKQ,Tulsi Gabbard confirmed as Director of National Intelligence?,data/emb_0303.pt,data/graph_0303.pt,1,0,1
Sen. Hawley: Tulsi Gabbard is winning over her critics,https://www.youtube.com/watch?v=Izj0aG8zYKQ,Will Joni Ernst vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0303.pt,data/graph_0303.pt,0,0,0
Sen. Hawley: Tulsi Gabbard is winning over her critics,https://www.youtube.com/watch?v=Izj0aG8zYKQ,Will John Fetterman vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0303.pt,data/graph_0303.pt,0,0,0
Sen. Hawley: Tulsi Gabbard is winning over her critics,https://www.youtube.com/watch?v=Izj0aG8zYKQ,Will Susan Collins vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0303.pt,data/graph_0303.pt,0,0,0
Sen. Hawley: Tulsi Gabbard is winning over her critics,https://www.youtube.com/watch?v=Izj0aG8zYKQ,Will Bill Cassidy vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0303.pt,data/graph_0303.pt,0,0,1
Sen. Hawley: Tulsi Gabbard is winning over her critics,https://www.youtube.com/watch?v=Izj0aG8zYKQ,Will John Curtis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0303.pt,data/graph_0303.pt,1,1,1
Sen. Hawley: Tulsi Gabbard is winning over her critics,https://www.youtube.com/watch?v=Izj0aG8zYKQ,Will Cynthia Lummis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0303.pt,data/graph_0303.pt,0,0,0
Sen. Hawley: Tulsi Gabbard is winning over her critics,https://www.youtube.com/watch?v=Izj0aG8zYKQ,Will Mitch McConnell vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0303.pt,data/graph_0303.pt,1,1,1
Sen. Hawley: Tulsi Gabbard is winning over her critics,https://www.youtube.com/watch?v=Izj0aG8zYKQ,Will Lisa Murkowski  vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,data/emb_0303.pt,data/graph_0303.pt,1,0,1
